[2024-11-10 01:33:43] Starting processing of /home/ubuntu/quantumLeap/data/input/Step_2_Classic_Texts_and_Ethnographies/2.1_Public_Domain_Books/Project_Gutenberg/psychology_of_unconscious.txt
[2024-11-10 01:33:43] Processing section 454: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 456: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 458: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 460: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 461: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 463: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 464: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 466: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 468: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 470: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 472: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 473: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 475: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 477: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 478: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 480: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 482: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 484: SectionType.HEADER, 16 tokens
[2024-11-10 01:33:43] Processing section 486: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 488: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 490: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 491: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 493: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 495: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 496: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 498: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 499: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 500: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 501: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 503: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 505: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 507: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 509: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 511: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 513: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 515: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 516: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 518: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 520: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 522: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 523: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 525: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 527: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 528: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 530: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 532: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 534: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 536: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 537: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 538: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 540: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 542: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 544: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 546: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 548: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 550: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 552: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 553: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 554: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 556: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 558: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 560: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 562: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 564: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 566: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 568: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 569: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 571: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 573: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 575: SectionType.HEADER, 5 tokens
[2024-11-10 01:33:43] Processing section 576: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 578: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 580: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 582: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 584: SectionType.HEADER, 8 tokens
[2024-11-10 01:33:43] Processing section 586: SectionType.HEADER, 4 tokens
[2024-11-10 01:33:43] Processing section 587: SectionType.HEADER, 3 tokens
[2024-11-10 01:33:43] Processing section 589: SectionType.HEADER, 4 tokens
[2024-11-10 01:33:43] Processing section 590: SectionType.HEADER, 2 tokens
[2024-11-10 01:33:43] Processing section 592: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 594: SectionType.HEADER, 18 tokens
[2024-11-10 01:33:43] Processing section 596: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 598: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 600: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 602: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 604: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 606: SectionType.HEADER, 4 tokens
[2024-11-10 01:33:43] Processing section 607: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 609: SectionType.HEADER, 19 tokens
[2024-11-10 01:33:43] Processing section 611: SectionType.HEADER, 19 tokens
[2024-11-10 01:33:43] Processing section 612: SectionType.HEADER, 9 tokens
